orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,tt_toxic_new,tt_neutral_new,sim_score,toxic_score,neutral_score
"шлюха,вчера твоя заметка твоей порванной пиздой накрылась:d (fr)",Твоя заметка не подходит,"фахишә, кичә сезнең язмагыз җимерелгән песи белән капланган: d (fr)",Сезнең язма урынсыз,tt,"шлюха,вчера твоя заметка твоей порванной пиздой накрылась:d (fr)",твоя заметка түгел подходит,0.9141055345535278,0.5553410053253174,0.998860239982605
"гандон,и до сих пор такой пиздец идет,для них все для народа хуй слоновый сушенный !","До сих пор так, для них всё, для народа ничего","бу - тупас, һәм ул әле дә шулай эшләнгән, алар өчен кешеләр өчен барысы да кипкән фил баласы!","Бу әле дә шулай, алар өчен барысы да, кешеләр өчен бернәрсә дә юк",tt,"гандон,һәм до сих пор такой пиздец идет,для них все для народа хуй слоновый сушенный !","до сих пор так, для них всё, для народа ничего",0.7120480537414551,0.9985436201095581,0.9913191199302673
да это просто нацыз вот в россий такие как он пиздить надо .,да это просто нацыз вот в россии такие как он наказывать надо,"Әйе, бу нацистлар гына, ләкин Россиядә аның кебек кешеләргә төрергә кирәк.","Әйе, бу нацистлар гына, ләкин Россиядә аның кебек кешеләр җәзага тартылырга тиеш",tt,да бу просто нацыз вот в россий такие как ул пиздить надо .,да бу просто нацыз вот в россии такие как ул наказывать надо,0.7610681056976318,0.9978182315826416,0.9979031085968018
"Блядь как же бомбит с этих татух на полноги. Пиздец просто, вот нахуя так делать.","Не нравятся эти татухи на пол ноги, зачем их делать","Начар, бу татуировкалар бик гаҗәп. Нигә шулай эшлисең?","Миңа аягым идәнендәге бу татуировкалар ошамый, нигә аларны алырга?",tt,"блядь как же бомбит белән этих татух на полноги. пиздец просто, вот нахуя так делать.","түгел нравятся эти татухи на пол ноги, зачем их делать",0.5481191873550415,0.9925171136856079,0.0020099878311157227
от ты сука и провокатор!пасешся на чюжих хлебах дрянь?!,От ты и провокатор! Пасешся на чужих хлебах,син бит кансыз һәм провокационер! Сез бүтән кешеләрнең икмәкләренә чүп көтәсезме ?!,Сез провокационер! Башка кешеләрнең икмәкләрен көтү,tt,от ты сука һәм провокатор!пасешся на чюжих хлебах дрянь?!,от ты һәм провокатор! пасешся на чужих хлебах,0.7033160924911499,0.9976231455802917,0.9946889877319336
"Он уже не стесняясь по кд срет, модератор его друг что ли?","Он уже устал флудить, наверное модератор его друг?","Ул инде CD-ка бутарга икеләнеп тормый, модератор аның дустымы яки нәрсә?","Ул су басудан арыды, бәлки модератор аның дустыдыр?",tt,"ул уже түгел стесняясь по кд срет, модератор его друг нәрсә ли?","ул уже устал флудить, наверное модератор его друг?",0.7645971179008484,0.0058479905128479,0.01076197624206543
жестокость не от того что дома нет животных пизд.....ые дети рождаются от пизд...ных родителей самое страшное что их много,жестокость не от того что дома нет животных дети рождаются от таких родителей самое страшное что их много,"рәхимсезлек өйдә хәйләкәр хайваннар булмаганга түгел ..... балалар хәйләкәр ата-аналардан туалар, иң начары - аларның күбесе",рәхимсезлек өйдә хайваннар булмаганга түгел; балалар андый ата-аналардан туган; иң начары - аларның күбесе,tt,жестокость түгел от того нәрсә дома нет животных пизд.....ые дети рождаются от пизд...ных родителей самое страшное нәрсә их много,жестокость түгел от того нәрсә дома нет животных дети рождаются от таких родителей самое страшное нәрсә их много,0.8822500705718994,0.05987578630447388,0.8508102893829346
заёб.с этим мостом уже полтора года мудохаются куда смотрит долбаная власть.,"Этот мост возводят уже полтора года, непонятна реакция властей","Алар бу күпер белән ярты ел әйләнәләр, монда хакимият органнары эзли.","Бу күпер ел ярым дәвамында төзелә, хакимиятнең реакциясе билгеле түгел",tt,заёб.белән этим мостом уже полтора года мудохаются куда смотрит долбаная власть.,"бу мост возводят уже полтора года, непонятна реакция властей",0.7424607276916504,0.994403064250946,0.24436050653457642
е...анутое пьяное быдло надо жёстко ставить на место.,Пьяных людей надо жёстко ставить на свое место,Исерткеч эчемлекләр аның урынына нык куелырга тиеш.,Исерек кешеләр үз урыннарына нык торырга тиеш,tt,е...анутое пьяное быдло надо жёстко ставить на место.,пьяных людей надо жёстко ставить на свое место,0.5635240077972412,0.9919701218605042,0.9187219738960266
"пошол ты на хуй, ещё раз я тебе говорю, не будь тупой скотиной, причём тут сталин!",Ещё раз тебе говорю ! Причём тут сталин ?,"Саклагыз, мин сезгә тагын әйтәм, ахмак тупас булмагыз, Сталинның аның белән ни эше бар!",Мин сезгә тагын әйтәм! Сталинның аның белән нинди бәйләнеше бар?,tt,"пошол ты на хуй, ещё раз я тебе говорю, түгел будь тупой скотиной, причём тут сталин!",ещё раз тебе говорю ! причём тут сталин ?,0.7128691673278809,0.9969995021820068,0.04205101728439331
у неё геморрой на губах,У нее болячка на губах,аның иреннәрендә геморрой бар,Аның иреннәрендә авырту бар,tt,у неё геморрой на губах,у нее болячка на губах,0.8961696624755859,0.0882757306098938,0.7302108407020569
охуеть класная до утраа бз сна боядь0,Очень классная. До утра без сна.,иртә белән бз йокы бояд0 кадәр салкын,Бик шәп. Йокысыз иртәгә кадәр.,tt,охуеть класная до утраа бз сна боядь0,очень классная. до утра без сна.,0.7817409038543701,0.991276741027832,0.0026859641075134277
андрюха не заполней ленту всякой хуху (это твой хэйбол . а то удалю тебя из друзей 😅,"Андрей, я удалю тебя из друзей, если не перестанешь","Андруха, сезнең азыкны крап белән тутырмагыз (бу сезнең гейбол. Otherwiseгыйсә мин сезне дусларым исемлегеннән чыгарырмын 😅","Андрей, туктамасаң, мин синең белән дуслашырмын.",tt,андрюха түгел заполней ленту всякой хуху (бу твой хэйбол . а то удалю тебя из друзей 😅,"андрей, я удалю тебя из друзей, если түгел перестанешь",0.7458821535110474,0.9509901404380798,0.0042340755462646484
Просто на хуй посылаю таких наглецов.,Не хочу общаться с такими людьми,Мин бу тәкәббер кешеләргә тәмугка барырга кушам.,Минем андый кешеләр белән аралашасым килми,tt,просто на хуй посылаю таких наглецов.,түгел хочу общаться белән такими людьми,0.5538380146026611,0.9901757836341858,0.010594308376312256
это не твои дети.!!! и тебя ебать не должно .--сучки продажные..,Это не твои дети и Тебе незачем знать,Бу сезнең балалар түгел. !!! һәм сез төрергә тиеш түгел. - бозык карчыклар ..,Бу сезнең балаларыгыз түгел һәм сез моны белергә тиеш түгел,tt,бу түгел твои дети.!!! һәм тебя ебать түгел должно .--сучки продажные..,бу түгел твои дети һәм тебе незачем знать,0.9226449728012085,0.9132958650588989,0.002253115177154541
когда всем врал про пушистую кость все но стрижка расставила на свои места твари,когда всем врал про пушистую кость все но стрижка расставила на свои места,"ул сөяк турында һәркемгә алдагач, чәч кисү җан ияләрен үз урынына куйды","ул сөяк турында бөтен кешегә алдаганда, чәч кисү барысын да үз урынына куйды",tt,когда всем врал про пушистую кость все но стрижка расставила на свои места твари,когда всем врал про пушистую кость все но стрижка расставила на свои места,0.7412195205688477,0.9894724488258362,0.7367916703224182
"сколько в москве, небыл, сырость, пасмурно, пробки хамами и дебилами кишат. и миллион тунеядцев.","Давно не был в Москве, но тут по-прежнему сыро, пасмурно, пробки, много озлобленных людей.  И много неработающих","Мәскәүдә күпме бар, әйтә алмыйм, ул дымлы, болытлы, тыгыннар шау-шу белән тулган. һәм миллион паразит.","Мин Мәскәүдә озак йөрмәдем, ләкин ул әле дымлы, болытлы, бөкеләр һәм бик ачулы кешеләр.  Aәм бик күп эшсез кешеләр",tt,"сколько в москве, небыл, сырость, пасмурно, пробки хамами һәм дебилами кишат. һәм миллион тунеядцев.","давно түгел булган в москве, но тут по-прежнему сыро, пасмурно, пробки, много озлобленных людей.  һәм много неработающих",0.7438833713531494,0.9989114999771118,0.24413150548934937
"Анекдот на русский лад,евреи ради своих детей и семейлбы расшебут","Анекдот на русский лад, евреи ради своих детей и семей лбы расшибут","Рәсәй стилендәге анекдот, яһүдләр балалары һәм гаиләләре өчен шаярырлар","Рәсәй стилендәге анекдот, яһүдләр балалары һәм гаиләләре өчен маңгайларын сындырачаклар",tt,"анекдот на русский лад,евреи ради своих детей һәм семейлбы расшебут","анекдот на русский лад, евреи ради своих детей һәм семей лбы расшибут",0.8511883020401001,0.9971554279327393,0.9988610744476318
за деньги с шаболдой живет.,За деньги с нехорошей девушкой живёт.,шаболда белән акча өчен яши.,Ул акча өчен начар кыз белән яши.,tt,өчен деньги белән шаболдой живет.,өчен деньги белән нехорошей девушкой живёт.,0.8682694435119629,0.8972711563110352,0.9856653213500977
сам урод и кожбека у тебя нет. плюнь на него плюнь,кожбека у тебя нет. плюнь на него плюнь,"Син гаҗәп, синдә тире юк. аңа төкерде",Сездә күн куртка юк. аңа төкерде,tt,сам урод һәм кожбека у тебя нет. плюнь на него плюнь,кожбека у тебя нет. плюнь на него плюнь,0.6026188135147095,0.6933545470237732,0.009127318859100342
"виктор, говорить и взывать к этим проплаченным тварям бесполезно.. лучше не отвечать.. этим прокремлевским троллям плата идёт побуквенно...","Виктор,говорить и взывать к этим людям бесполезно,лучше не отвечать. Этим людям плата идёт побуквенно.","Виктор, бу түләүле җан ияләренә сөйләшү һәм мөрәҗәгать итүнең файдасы юк ... җавап бирмәү яхшырак ... бу Кремль яклы тролллар түләүле хат белән хат алалар ...","Виктор, бу кешеләр белән сөйләшү һәм мөрәҗәгать итүнең файдасы юк, җавап бирмәү яхшырак. Бу кешеләргә хат белән түләнәләр.",tt,"виктор, говорить һәм взывать к этим проплаченным тварям бесполезно.. лучше түгел отвечать.. этим прокремлевским троллям плата идёт побуквенно...","виктор,говорить һәм взывать к этим людям бесполезно,лучше түгел отвечать. этим людям плата идёт побуквенно.",0.7932602763175964,0.9879459738731384,0.0031515955924987793
... и укусит нахер тело!!!!!,Укусит тело,... һәм тәнне тешләгез !!!!!,Тәнне тешләячәк,tt,... һәм укусит нахер тело!!!!!,укусит тело,0.9148874282836914,0.0016278624534606934,0.9943194389343262
"мм, страна нищая? ну это вранье! эти люди гордятся страной, убогое ты ничтожество.","Мм, страна нищая? Ну это враньё. Эти люди гордятся страной","мм, ил ярлымы? Бу ялган! Бу кешеләр ил белән горурланалар, сез битарафсыз.","Мм, ил ярлымы? Бу ялган. Бу кешеләр ил белән горурланалар",tt,"мм, страна нищая? ну бу вранье! эти кешеләр гордятся страной, убогое ты ничтожество.","мм, страна нищая? ну бу враньё. эти кешеләр гордятся страной",0.8858938217163086,0.004883289337158203,0.0029441118240356445
"мм, страна нищая? ну это вранье! эти люди гордятся страной, убогое ты ничтожество.","Мм, страна нищая? Ну это вранье! Эти люди гордятся страной.","мм, ил ярлымы? Бу ялган! Бу кешеләр ил белән горурланалар, сез битарафсыз.","Мм, ил ярлымы? Бу ялган! Бу кешеләр ил белән горурланалар.",tt,"мм, страна нищая? ну бу вранье! эти кешеләр гордятся страной, убогое ты ничтожество.","мм, страна нищая? ну бу вранье! эти кешеләр гордятся страной.",0.8858938217163086,0.004883289337158203,0.0022708773612976074
так это ты уебок разместил такое фото что-бы заработать?,Так это ты разместил такое фото что бы заработать?,шулай итеп сез акча эшләү өчен шундый фото урнаштырдыгызмы?,Шулай итеп сез акча эшләү өчен бу фотоны урнаштырдыгызмы?,tt,так бу ты уебок разместил такое фото нәрсә-бы заработать?,так бу ты разместил такое фото нәрсә бы заработать?,0.9020535945892334,0.9980114698410034,0.20690888166427612
а ты что илюха?? тебе не по хую какой день?,а ты что Илья?? тебе не все равно какой день?,һәм син нәрсә Илья ?? сез нинди көнне ярамыйсыз?,синең турында Илья ?? сез нинди көн?,tt,а ты нәрсә илюха?? тебе түгел по хую какой день?,а ты нәрсә илья?? тебе түгел все равно какой день?,0.8909628391265869,0.061010003089904785,0.01430898904800415
а ты что илюха?? тебе не по хую какой день?,А ты что илюха? Тебе не всё ли равно какой день?,һәм син нәрсә Илья ?? сез нинди көнне ярамыйсыз?,"Син нәрсә, Илюха? Сез аның нинди көн булуына игътибар итәсезме?",tt,а ты нәрсә илюха?? тебе түгел по хую какой день?,а ты нәрсә илюха? тебе түгел всё ли равно какой день?,0.8909628391265869,0.061010003089904785,0.9912759065628052
"Скучаю по временам, когда подсосы Алекса Пыни не обвиняли его беспруфно в совкодрочерстве и не засирали инторнет своей тупостью","Скучаю по временам, когда подписчики Алекса Пыни не обвиняли его беспруфно в ностальгии по СССР и не засоряли интернет своими высказываниями",Мин Алекс Пиняның имезүчеләре аны совет ванкында гаепләмәгән һәм ахмаклыклары белән Интернетны чүпләмәгән вакытларны сагынам.,Алекс Пиниянең абонентлары аны СССР өчен ностальгиядә гаепләмәгән һәм үз сүзләре белән Интернетны чүпләмәгән вакытларны сагынам.,tt,"скучаю по временам, когда подсосы алекса пыни түгел обвиняли его беспруфно в совкодрочерстве һәм түгел засирали инторнет своей тупостью","скучаю по временам, когда подписчики алекса пыни түгел обвиняли его беспруфно в ностальгии по ссср һәм түгел засоряли интернет своими высказываниями",0.8157137632369995,0.9969813227653503,0.9718127250671387
"вот и засунь теперь свой язык себе в опу.... она пля презирает, пхахаха, а кто ты такая чучело....","Вот и помолчите пожалуйста, презираете, ха-ха. А кто вы такая вообще?","хәзер телеңне ишегеңә ябыштыр .... ул пляжны нәфрәт итә, хахаха, һәм син кем, карчык ....","Зинһар, ябык, син мине нәфрәт итәсең, ха. Барыбер син кем?",tt,"вот һәм засунь теперь свой язык себе в опу.... ул пля презирает, пхахаха, а кто ты такая чучело....","вот һәм помолчите пожалуйста, презираете, ха-ха. а кто сез такая вообще?",0.7308427095413208,0.3002140522003174,0.010738968849182129
"ви таки дурак, простите? )","Вы в своём уме, простите?","Син ахмакмы, гафу ит? )","Син акылыңнан чыгасыңмы, гафу итегез?",tt,"ви таки дурак, простите? )","сез в своём уме, простите?",0.8348422050476074,0.008933961391448975,0.9865652918815613
тебя пидора уже давно надо убрать.,Тебя давно надо наказать,Сез фагот күптән бетерелгән булырга тиеш.,Сезгә күптән җәза бирелергә тиеш иде,tt,тебя пидора уже давно надо убрать.,тебя давно надо наказать,0.7451684474945068,0.9756761789321899,0.048265695571899414
плешивый пёс..в.в. задрал уже всех со своими едроссами )))))),В. В. надоел уже всем со своей единой россией,кашлы эт..в.в. Инде аларның барысын да ваттылар)))))),В.В. үзенең берләшкән Россиясе белән бөтен кешедән арыды,tt,плешивый пёс..в.в. задрал уже всех со своими едроссами )))))),в. в. надоел уже всем со своей единой россией,0.7580559253692627,0.9989662170410156,0.9589360952377319
это что за курва в котелке?,Что за девушка в котелке?,Боулер шляпасында бу нинди фахишә?,Боулер шляпасындагы кыз кем ул?,tt,бу нәрсә өчен курва в котелке?,нәрсә өчен девушка в котелке?,0.6544692516326904,0.9974944591522217,0.9987578392028809
по сравнению с вовкой хуйлом лукашенко это цветочек,По сравнению с Вовкой Лукашенко это цветочек,"Вовка белән чагыштырганда, Лукашенко - чәчәк","Вовка Лукашенко белән чагыштырганда, бу чәчәк",tt,по сравнению белән вовкой хуйлом лукашенко бу цветочек,по сравнению белән вовкой лукашенко бу цветочек,0.7384936809539795,0.45631319284439087,0.15716898441314697
да на хую я тебя видел:d сучара.... ты вообще кто???,да не хочу тебя видеть:d человек.... ты вообще кто???,нигә мин сине күрдем: г канчык .... син барыбер кем ???,Мин сине күрәсем килми: г кеше .... син барыбер кем ???,tt,да на хую я тебя видел:d сучара.... ты вообще кто???,да түгел хочу тебя видеть:d человек.... ты вообще кто???,0.8000686764717102,0.012578606605529785,0.003894627094268799
"как эту рыжую мразь,земля досихпор носит.",Как эту рыжую девушку земля до сих пор носит,"Бу кызыл чүп кебек, җир һаман да йөри.",Stillир ничек әле бу кызыл чәчле кызны киеп йөри,tt,"как эту рыжую мразь,земля досихпор носит.",как эту рыжую девушку земля до сих пор носит,0.6930201053619385,0.9955541491508484,0.9968596696853638
всех пиздаболов надо на калыму за страдание людей,Всех нехороших личностей надо на калыму за страдание людей,барлык фактлар кешеләр газаплары өчен кәләшкә лаек,Барлык начар шәхесләргә дә кешеләр газаплары өчен кәләш бирелергә тиеш,tt,всех пиздаболов надо на калыму өчен страдание людей,всех нехороших личностей надо на калыму өчен страдание людей,0.6187479496002197,0.989723801612854,0.013290345668792725
всех пиздаболов надо на калыму за страдание людей,всех лжецов надо на калыму за страдание людей,барлык фактлар кешеләр газаплары өчен кәләшкә лаек,барлык ялганчылар кешеләр газаплары өчен кәләшкә лаек,tt,всех пиздаболов надо на калыму өчен страдание людей,всех лжецов надо на калыму өчен страдание людей,0.6187479496002197,0.989723801612854,0.9980699419975281
"таких тварей даже незнаешь судить или убивать,конченные ублюдки👎👎👎",Таких людей даже и не знаешь как наказывать,Сез андый җан ияләрен ничек хөкем итәргә яки үтерергә дә белмисез,Сез андый кешеләрне ничек җәзага тартырга белмисез,tt,"таких тварей даже незнаешь судить или убивать,конченные ублюдки👎👎👎",таких людей даже һәм түгел знаешь как наказывать,0.8757354617118835,0.9928641319274902,0.9935976266860962
Может на войну поедешь в Сирию подыхать У русни хотя бы выбор есть. Рабских oкраинных людей (украинцев) туда плётками загоняют.,Может на войну поедешь в сирию у России хотя бы выбор есть украинцев туда гонят,"Бәлки сез Сүриядәге сугышка барырсыз. Ник дигәндә, русларның сайлау мөмкинлеге бар. Читтән килгән славян кешеләре (украиннар) анда камчы белән йөртелә.","Бәлки сез Сүриядәге сугышка барырсыз, ким дигәндә Россиянең сайлау мөмкинлеге бар, анда украиннар йөртелә",tt,может на войну поедешь в сирию подыхать у русни хотя бы выбор бар. рабских oкраинных людей (украинцев) туда плётками загоняют.,может на войну поедешь в сирию у россии хотя бы выбор бар украинцев туда гонят,0.887353777885437,0.9908674955368042,0.9975298047065735
С каких пор гомосексуалы и трансгендеры - это одно и то же?,С каких пор гомосексуалы и трансгендеры - это одно и то же?,Кайчаннан бирле гомосексуалистлар һәм трансгендерлар бер үк нәрсә?,Кайчаннан бирле гомосексуалистлар һәм трансгендерлар бер үк нәрсә?,tt,белән каких пор гомосексуалы һәм трансгендеры - бу одно һәм то же?,белән каких пор гомосексуалы һәм трансгендеры - бу одно һәм то же?,0.9578614234924316,0.009275376796722412,0.009275376796722412
наконец стали понимать что пора убирать эту мразь ооо рф частную организацию.,наконец стали понимать что пора убирать это ооо рф частную организацию,"Ниһаять, алар Россия Федерациясе ООО шәхси оешмасының бу чүп-чарын чистартырга вакыт икәнен аңлый башладылар.","ниһаять, алар бу Россия Федерациясе ООО шәхси оешмасын чистартырга вакыт икәнен аңлый башладылар",tt,наконец стали понимать нәрсә пора убирать эту мразь ооо рф частную организацию.,наконец стали понимать нәрсә пора убирать бу ооо рф частную организацию,0.7984493970870972,0.9988787770271301,0.9982696771621704
"можешь не говорить какое, это пердёж таких как ты одноклеточных 🤣лол","можешь не говорить какое, это неправда","Кайсысын әйтергә кирәкми, бу сезнең кебек бер күзәнәкле кешеләрдән ерак","кайсысын әйтергә кирәк түгел, бу дөрес түгел",tt,"можешь түгел говорить какое, бу пердёж таких как ты одноклеточных 🤣лол","можешь түгел говорить какое, бу неправда",0.6311044692993164,0.667639434337616,0.9942474365234375
"можешь не говорить какое, это пердёж таких как ты одноклеточных 🤣лол","Можешь не говорить какое,это враньё таких как ты лол","Кайсысын әйтергә кирәкми, бу сезнең кебек бер күзәнәкле кешеләрдән ерак","Кайсысын әйтергә кирәкми, бу сезнең кебек кешеләрдән ялган",tt,"можешь түгел говорить какое, бу пердёж таких как ты одноклеточных 🤣лол","можешь түгел говорить какое,бу враньё таких как ты лол",0.6311044692993164,0.667639434337616,0.9948539137840271
"эту гниду нужно лечить её методом,",нужно лечить её методом,"бу нитны аның ысулы белән эшкәртергә кирәк,",дәваланырга тиеш,tt,"эту гниду нужно лечить её методом,",нужно лечить её методом,0.821778416633606,0.00469517707824707,0.17588800191879272
"пидоры живущие за счёт народа, в биологии называются паразитами , организм живущий за счёт другова","Люди,живущие за счёт народа, в биологии называются паразитами , организм живущий за счёт другова","Халык хисабына яшәүче фаготлар биологиядә паразитлар, башкалар хисабына яшәүче организм дип атала","Халык хисабына яшәүче кешеләр биологиядә паразитлар, башкалар хисабына яшәүче организм дип атала",tt,"пидоры живущие өчен счёт народа, в биологии называются паразитами , организм живущий өчен счёт другова","кешеләр,живущие өчен счёт народа, в биологии называются паразитами , организм живущий өчен счёт другова",0.801440954208374,0.9943859577178955,0.9952633380889893
"пиздешь! кто это придумал , тупорылая морда хотя бы подумал, что пишет.",Кто это придумал? Хотя бы подумал что пишет,"сиңа! кем моны уйлап тапса, ахмак кружка, ким дигәндә, ул язган дип уйлаган.","Моны кем уйлап тапты? Ник дигәндә, ул язган дип уйлаган",tt,"пиздешь! кто бу придумал , тупорылая морда хотя бы подумал, нәрсә пишет.",кто бу придумал? хотя бы подумал нәрсә пишет,0.7420531511306763,0.9922459721565247,0.9986187219619751
дури эти девки! кто против моих слов пусть пропускает...,Глупы эти девки!кто против моих слов пусть пропускает,бу кызларны алда! Минем сүзләремә каршы чыккан кеше үтсен ​​...,"Бу кызлар ахмак! Кем дә булса минем сүзләремә каршы килсә, үтсеннәр",tt,дури эти девки! кто против моих слов пусть пропускает...,глупы эти девки!кто против моих слов пусть пропускает,0.833038330078125,0.9918210506439209,0.9760209321975708
когда ж вы суки нажретесь,Когда вы уже насытитесь.,кайчан син исерерсең,Сез инде тулгач.,tt,когда ж сез суки нажретесь,когда сез уже насытитесь.,0.8592280745506287,0.9865480065345764,0.9977236390113831
"апять наебалово, вы че народ за дебилов держите. пидарасы","апять обман, вы че народ за глупых держите.","тагын, алайса, нигә сез кешеләрне моронга аласыз. фаготлар","тагын алдау, нигә сез кешеләрне ахмаклар өчен аласыз.",tt,"апять наебалово, сез че народ өчен дебилов держите. пидарасы","апять обман, сез че народ өчен глупых держите.",0.5281561017036438,0.03384089469909668,0.9982001781463623
"бил бабу по ебалу еще до того, как это стало мейнстримом","бил женщину по лицу еще до того, как это стало мейнстримом",төп агымга әверелгәнче хатын-кызны кыйнагыз,төп агымга әверелгәнче хатын-кызны биткә кыйнады,tt,"бил бабу по ебалу еще до того, как бу стало мейнстримом","бил женщину по лицу еще до того, как бу стало мейнстримом",0.5997734069824219,0.9796859622001648,0.9923519492149353
таких как ты ишаков не ебу даже...не мылься.,Таких как ты умников не трогаю,Мин сезнең кебек ишәкләрне дә төртмим ... үзегезне юмагыз.,Мин сезнең кебек акыллы кешеләргә кагылмыйм,tt,таких как ты ишаков түгел ебу даже...түгел мылься.,таких как ты умников түгел трогаю,0.7369312047958374,0.0037046074867248535,0.23370593786239624
"их не выгонят, их просто убьют вакциной!!!","их не выгонят, их просто убьют вакциной!!!","алар куылмаячаклар, вакцина белән үтереләчәкләр !!!","алар куылмаячаклар, вакцина белән үтереләчәкләр !!!",tt,"их түгел выгонят, их просто убьют вакциной!!!","их түгел выгонят, их просто убьют вакциной!!!",0.913756251335144,0.9995062351226807,0.9995062351226807
"я бы этих собак лично перестреляла. это искалеченная коза, а ведь могут и на ребёнка напасть",Эти собаки могут напасть на ребенка и должны быть уничтожены,"Мин бу этләрне шәхсән атар идем. ул гарип кәҗә, ләкин ул хәтта балага һөҗүм итә ала",Бу этләр балага һөҗүм итә һәм юк ителергә тиеш,tt,"я бы этих собак лично перестреляла. бу искалеченная коза, а ведь могут һәм на ребёнка напасть",эти собаки могут напасть на ребенка һәм должны быть уничтожены,0.8506808280944824,0.8050355911254883,0.9555690288543701
"твари они последние, пришли бомбить и нажиться.",Пришли бомбить и нажиться,"Алар соңгы җан ияләре, алар бомба ясарга һәм табыш алырга килгәннәр.",Алар бомба ясарга һәм табыш алырга килгәннәр,tt,"твари они последние, пришли бомбить һәм нажиться.",пришли бомбить һәм нажиться,0.7839590311050415,0.9966230392456055,0.9949299693107605
"он может просто ёб...тый дурачёк,и не собирается в котэ стрелять. что вы так сразу на него взъелись?","Может он просто не умный человек, и не собирается стрелять в кота. Что вы сразу взъелись на него?",ул бары тик ахмак булырга мөмкин һәм мәчегә атарга җыенмый. Нигә син аңа шундук ачуландың?,Бәлки ул акыллы кеше түгел һәм мәчегә атарга җыенмыйдыр. Нигә син шундук ачуландың?,tt,"ул может просто ёб...тый дурачёк,һәм түгел собирается в котэ стрелять. нәрсә сез так сразу на него взъелись?","может ул просто түгел умный человек, һәм түгел собирается стрелять в кота. нәрсә сез сразу взъелись на него?",0.8153777122497559,0.997706413269043,0.9952124357223511
а я нихуя не понял ну попер ставка на ник или рандом орет._.,не понял ну попер ставка на ник или рандом орет._.,"һәм мин аңламыйм, әйбәт, кушаматка яисә очраклы кычкыруга.","Мин аңламыйм, әйбәт, иң яхшы коймак кушаматта яки очраклы кычкыруда ._.",tt,а я нихуя түгел понял ну попер ставка на ник или рандом орет._.,түгел понял ну попер ставка на ник или рандом орет._.,0.6807928085327148,0.14823567867279053,0.9971157312393188
эта тварь наплевала на народ и государство прийдет время на кол мразь посадят,Он наплевал на народ и на государство. Придёт время и его посадят.,"бу җан иясе кешеләр һәм дәүләт турында кайгыртмый, чүпне кадакларга вакыт киләчәк",Ул халык һәм дәүләт турында кайгыртмады. Вакыт килер һәм ул төрмәдә утырыр.,tt,эта тварь наплевала на народ һәм государство прийдет время на кол мразь посадят,ул наплевал на народ һәм на государство. придёт время һәм его посадят.,0.7513650059700012,0.9969382286071777,0.4674142599105835
"и среди кремлеботов хватает своих идиотов. сутками в сетях сидят и всякую хню нам говорят. я,оказывается,тоже могу. зацени!","сутками в сетях сидят и всякую бессмыслицу нам говорят. я,оказывается,тоже могу. зацени!",һәм Кремльботлар арасында ахмаклар бик күп. Алар берничә көн челтәрдә утыралар һәм безгә төрлечә сөйлиләр. Мин дә моны эшли алам. карагыз!,"Алар көн-көн интернетта утыралар, безгә төрле мәгънәсез сүзләр әйтәләр. Мин дә моны эшли алам. карагыз!",tt,"һәм среди кремлеботов хватает своих идиотов. сутками в сетях сидят һәм всякую хню нам говорят. я,оказывается,тоже могу. зацени!","сутками в сетях сидят һәм всякую бессмыслицу нам говорят. я,оказывается,тоже могу. зацени!",0.8026974201202393,0.996788740158081,0.9672452807426453
"иди нахер, верните иваныча, черти!","Иди от сюда, верните иваныча!","тәмугка бар, Ивановичны алып кайт, шайтаннар!","Моннан чык, Ивановичны алып кайт!",tt,"иди нахер, верните иваныча, черти!","иди от сюда, верните иваныча!",0.5590553283691406,0.9714024662971497,0.000432431697845459
"иди нахер, верните иваныча, черти!","отстаньте, верните Иваныча!","тәмугка бар, Ивановичны алып кайт, шайтаннар!","мине калдыр, Ивановичны алып кайт!",tt,"иди нахер, верните иваныча, черти!","отстаньте, верните иваныча!",0.5590553283691406,0.9714024662971497,0.000888526439666748
"иди нахер, верните иваныча, черти!",верните иваныча!,"тәмугка бар, Ивановичны алып кайт, шайтаннар!",Ивановичны алып кайт!,tt,"иди нахер, верните иваныча, черти!",верните иваныча!,0.5590553283691406,0.9714024662971497,0.0007285475730895996
